course_number,course_name,description,work_load,prerequisits,required,type
CPSC 120,Introduction to Programming (3),"Introduction to the concepts underlying all computer programming: design and execution of programs; sequential nature of programs; use of assignment, control and input/output statements to accomplish desired tasks; design and use of functions. Structured and object-oriented methodologies. (1.5 hours lecture, 3 hours laboratory)","1.5 hours lecture, 3 hours laboratory",MATH 125,1,lower_division
CPSC 121,Object-Oriented Programming (3),"The object-oriented programming paradigm: classes, member functions, interfaces, inheritance, polymorphism, and exceptions. Design practices including encapsulation, decoupling, and documentation. Pointers/references and memory management. Recursion. (2 hours lecture, 2 hours activity)","2 hours lecture, 2 hours activity",CPSC 120,1,lower_division
CPSC 131,Data Structures (3),"Classical data structures: vector, linked list, stack, queue, binary search tree, and graph representations. Worst-case analysis, amortized analysis, and big-O notation. Object-oriented and recursive implementation of data structures. Self-resizing vectors and self-balancing trees. Empirical performance measurement.","Classical data structures: vector, linked list, stack, queue, binary search tree, and graph representations. Worst-case analysis, amortized analysis, and big-O notation. Object-oriented and recursive implementation of data structures. Self-resizing vectors and self-balancing trees. Empirical performance measurement.",CPSC 121,1,lower_division
CPSC 223C,C Programming (3),"Systems programming in the C language, including its syntax and semantics; essential idioms; important parts of the C11 and POSIX C APIs; security issues; and notable extensions libraries.","Systems programming in the C language, including its syntax and semantics; essential idioms; important parts of the C11 and POSIX C APIs; security issues; and notable extensions libraries.",CPSC 131,1,lower_division
CPSC 223J,Java Programming (3),"Characteristics of Java: portable, robust, secure, object-oriented, high performance; using the Java environment; server administration; types, expressions and control flow; classes, interfaces and packages; threads; exceptions; class libraries; Java for the Internet; tools, the Java Virtual machine. (2 hours lecture, 2 hours lab per week)","2 hours lecture, 2 hours lab per week",CPSC 131,1,lower_division
CPSC 223N,Visual C# Programming (3),"Characteristics of C#, object-oriented design concepts, control structures, methods, arrays, classes, objects, inheritance, polymorphism, exception handling, graphical user interfaces, multithreading, characters, strings, files, streams. Rudiments of the Unified Modeling Language Software development assignments. (2 hours lecture, 2 hours laboratory)","2 hours lecture, 2 hours laboratory",CPSC 131,1,lower_division
CPSC 223P,Python Programming (3),"Characteristics of Python: portable, robust, secure, object-oriented, functional, high performance, extensible; types, expressions, and control flow; classes, abstract base classes, modules, and packages; threads; exceptions; Python standard library. 2 hours lecture and 2 hours laboratory per week)","Characteristics of Python: portable, robust, secure, object-oriented, functional, high performance, extensible; types, expressions, and control flow; classes, abstract base classes, modules, and packages; threads; exceptions; Python standard library. 2 hours lecture and 2 hours laboratory per week",CPSC 131,1,lower_division
CPSC 223W,Swift Programming (3),"Introduction to Swift, a programming language primarily used to develop software for Apple operating systems. Introduces skills to learn a new programming language. (2 hours lecture, 2 hours lab per week)","2 hours lecture, 2 hours lab per week",CPSC 131,1,lower_division
CPSC 240,Computer Organization and Assembly Language (3),"Digital logic and architecture of a computer system, machine level representation of data, memory system organization, structure of low-level computer languages. Machine, assembly, and macro language programming. Principles of assembler operation, input-output programming, interrupt/exception handling. Laboratory programming assignments. (2 hours lecture, 2 hours laboratory)","2 hours lecture, 2 hours laboratory","CPSC 131, MATH 170A or MATH 280",1,lower_division
CPSC 253,Cybersecurity Foundations and Principles (3),"Security goals, security systems, access controls, networks and security, integrity, cryptography fundamentals, authentication. Attacks: software, network, website; management considerations, security standards in government and industry; security issues in requirements, architecture, design, implementation, testing, operation, maintenance, acquisition and services.","Security goals, security systems, access controls, networks and security, integrity, cryptography fundamentals, authentication. Attacks: software, network, website; management considerations, security standards in government and industry; security issues in requirements, architecture, design, implementation, testing, operation, maintenance, acquisition and services.",,1,lower_division
CPSC 315,Professional Ethics in Computing (3),"Ethics and moral philosophy as applied to software and digital artifacts. Notions of rights, responsibilities, property, ownership, privacy, security, and professional ethics. Security obligations. Intellectual propertystatutes, licenses, and their terms. Oral and written reports are required.","Ethics and moral philosophy as applied to software and digital artifacts. Notions of rights, responsibilities, property, ownership, privacy, security, and professional ethics. Security obligations. Intellectual propertystatutes, licenses, and their terms. Oral and written reports are required.",CPSC 131,1,upper_division
CPSC 323,Compilers and Languages (3),"Basic concepts of programming languages and principles of translation. Topics include history of programming languages, various programming paradigms, language design issues and criteria, design of compilers for modern programming languages.","Basic concepts of programming languages and principles of translation. Topics include history of programming languages, various programming paradigms, language design issues and criteria, design of compilers for modern programming languages.",CPSC 131,1,upper_division
CPSC 332,File Structures and Database Systems (3),"Fundamental theories and design of database systems, the Structured Query Language (SQL), basic concepts and techniques of data organization in secondary storage. Topics include introduction to database systems, ER model, relational model, index structures and hashing techniques.",SQL,CPSC 131,1,upper_division
CPSC 335,Algorithm Engineering (3),"Algorithm design using classical patterns: exhaustive search, divide and conquer, randomization, hashing, reduction, dynamic programming, and the greedy method. Asymptotic and experimental efficiency analysis. NP-completeness and decidability. Implementing algorithms to solve practical problems.","Algorithm design using classical patterns: exhaustive search, divide and conquer, randomization, hashing, reduction, dynamic programming, and the greedy method. Asymptotic and experimental efficiency analysis. NP-completeness and decidability. Implementing algorithms to solve practical problems.","CPSC 131, MATH 170A, MATH 150A",1,upper_division
CPSC 351,Operating Systems Concepts (3),"Resource management, memory organization, input/output, control process synchronization and other concepts as related to the objectives of multi-user operating systems.","Resource management, memory organization, input/output, control process synchronization and other concepts as related to the objectives of multi-user operating systems.",CPSC 131,1,upper_division
CPSC 362,Foundations of Software Engineering (3),"Basic concepts, principles, methods, techniques and practices of software engineering. All aspects of the software engineering fields. Use Computer-Aided Software Engineering (CASE) tools.",CASE,CPSC 131,1,upper_division
CPSC 471,Computer Communications (3),"Introduction to digital data communications. Terminology, networks and their components, common-carrier services, telecommunication facilities, terminals, error control, multiplexing and concentration techniques.","Introduction to digital data communications. Terminology, networks and their components, common-carrier services, telecommunication facilities, terminals, error control, multiplexing and concentration techniques.",CPSC 351,1,upper_division
CPSC 481,Artificial Intelligence (3),"Using computers to simulate human intelligence. Production systems, pattern recognition, problem solving, searching game trees, knowledge representation and logical reasoning. Programming in AI environments.","Using computers to simulate human intelligence. Production systems, pattern recognition, problem solving, searching game trees, knowledge representation and logical reasoning. Programming in AI environments.","CPSC 335, MATH 338",1,upper_division
CPSC 490,Undergraduate Seminar in Computer Science (3),"Review of foundational computer science theories and principles, real-world application development methods and processes, and industry practices. Survey of modern computing technologies. Research methods. Identification of research or practical application problems. Writing and presenting a proposal for a capstone project.","Review of foundational computer science theories and principles, real-world application development methods and processes, and industry practices. Survey of modern computing technologies. Research methods. Identification of research or practical application problems. Writing and presenting a proposal for a capstone project.",CPSC 362,1,upper_division
CPSC 491,Senior Capstone Project in Computer Science (3),"A computer science research or real-world level of application development project. Business communication. Presenting the results to a wide range of audiences. Demonstrating the culminating experience of the practicum in computer science. Writing a final project report and technical documents such as user manuals, installation guides, feasibility study reports.","A computer science research or real-world level of application development project. Business communication. Presenting the results to a wide range of audiences. Demonstrating the culminating experience of the practicum in computer science. Writing a final project report and technical documents such as user manuals, installation guides, feasibility study reports.",CPSC 490,1,upper_division
MATH 150A,Calculus I (4),"Properties of functions. The limit, derivative and definite integral concepts; applications of the derivative, techniques and applications of integration. Six units of credit are given for both MATH 130 and MATH 150A, or for both MATH 135 and MATH 150A. Biology, geology and earth science majors who pass ALEKS must take MATH 130. CBE majors who pass ALEKS must take MATH 135.","Properties of functions. The limit, derivative and definite integral concepts; applications of the derivative, techniques and applications of integration. Six units of credit are given for both MATH 130 and MATH 150A, or for both MATH 135 and MATH 150A. Biology, geology and earth science majors who pass ALEKS must take MATH 130. CBE majors who pass ALEKS must take MATH 135.",,1,math
MATH 150B,Calculus II (4),"Techniques of integration, improper integrals and applications of integration. Introduction to differential equations. Parametric equations, sequences and series.","Techniques of integration, improper integrals and applications of integration. Introduction to differential equations. Parametric equations, sequences and series.",MATH 150A,1,math
MATH 170A,Mathematical Structures I (3),"First of two semesters of fundamental discrete mathematical concepts and techniques needed in computer-related disciplines. Logic, truth tables, elementary set theory, proof techniques, combinatorics, Boolean algebra, recursion and graph theory. Must have completed four years of high school mathematics.","First of two semesters of fundamental discrete mathematical concepts and techniques needed in computer-related disciplines. Logic, truth tables, elementary set theory, proof techniques, combinatorics, Boolean algebra, recursion and graph theory. Must have completed four years of high school mathematics.",,1,math
MATH 170B,Mathematical Structures II (3),"Second of two semesters of fundamental discrete mathematical concepts and techniques needed in computer-related disciplines, focusing on linear algebra.","Second of two semesters of fundamental discrete mathematical concepts and techniques needed in computer-related disciplines, focusing on linear algebra.",,1,math
MATH 338,Statistics Applied to Natural Sciences (4),"Introduction to the theory and application of statistics. Elementary probability, estimation, hypothesis testing, regression, variance analysis, non-parametric tests. Computer-aided analysis of real data. Graphical techniques, generating and interpreting statistical output, presentation of analysis.","Introduction to the theory and application of statistics. Elementary probability, estimation, hypothesis testing, regression, variance analysis, non-parametric tests. Computer-aided analysis of real data. Graphical techniques, generating and interpreting statistical output, presentation of analysis.","MATH 106, MATH 130 or MATH 150B",1,math
BIOL 101,Elements of Biology (3),"Underlying principles governing life forms, processes and interactions. Elements of biology and reasoning skills for understanding scientific issues on personal, societal and global levels. For non-science majors. No credit toward biological science major.","Underlying principles governing life forms, processes and interactions. Elements of biology and reasoning skills for understanding scientific issues on personal, societal and global levels. For non-science majors. No credit toward biological science major.",,0,science
BIOL 101L,Elements of Biology Laboratory (1),"Laboratory experiments demonstrating principles from the lecture course. Scientific inquiry, cells, physiology, genetics, biodiversity, evolution and ecology. Hybrid sections require online and in-person activities (3 hours laboratory or fieldwork; weekend field trips and online coursework may be required). For non-science majors.",3 hours laboratory or fieldwork; weekend field trips and online coursework may be required,,0,science
BIOL 151,Cellular and Molecular Biology (4),"Lecture and laboratory exploration of eukaryotic/prokaryotic cellular structure and function, biological molecules, classical/Mendelian genetics, regulation of gene expression and biotechnology, cell signaling, metabolic pathways, the process and regulation of cellular reproduction, evolution of multicellularity. (For majors in CNSM). (3 hours lecture, 3 hours laboratory)","3 hours lecture, 3 hours laboratory",,0,science
BIOL 152,Evolution and Organismal Biology (4),"Introduction to evolution and organismal biology. Evolutionary processes that resulted in the biodiversity of life on Earth. Physiological processes and ecological challenges for organisms. (3 hours lecture, 3 hours laboratory/fieldwork; weekend field trips required)","3 hours lecture, 3 hours laboratory/fieldwork; weekend field trips required",BIOL 151,0,science
CHEM 120A,General Chemistry (5),"For majors and minors in the physical and biological sciences. The principles of chemistry: stoichiometry, acids, bases, redox reactions, gas laws, solid and liquid states, changes of state, modern atomic concepts, periodicity and chemical bonding. Laboratory: elementary syntheses, spectroscopy and volumetric quantitative analysis. (3 hours lecture, 3 hours laboratory, 2 hours activity)","3 hours lecture, 3 hours laboratory, 2 hours activity",CHEM 115,0,science
CHEM 120B,General Chemistry (5),"For majors and minors in the physical and biological sciences, chemical thermodynamics, chemical equilibrium (gaseous, aqueous, acid-base, solubility and complexation), elementary electrochemistry and chemical kinetics. Laboratory: quantitative and qualitative analysis and elementary physical chemistry; some qualitative analysis. (3 hours lecture, 6 hours laboratory).","3 hours lecture, 6 hours laboratory",CHEM 120A,0,science
CHEM 123,Chemistry for Engineers (3),"Fundamental concepts of chemistry for engineering students. Atomic structure, periodic table, stoichiometry, states of matter, chemical bonding, new materials, solutions, thermodynamics, reaction rates, equilibrium, electrochemistry, polymers and nuclear reactions.","Fundamental concepts of chemistry for engineering students. Atomic structure, periodic table, stoichiometry, states of matter, chemical bonding, new materials, solutions, thermodynamics, reaction rates, equilibrium, electrochemistry, polymers and nuclear reactions.",MATH 125  or MATH 150A,0,science
CHEM 125,General Chemistry B Lecture (3),"For students who do not need a second semester of general chemistry lab. Chemical thermodynamics, chemical equilibrium (gaseous, aqueous, acid-base, solubility and complexion), elementary electrochemistry and chemical kinetics. Not open to students with credit in CHEM 120B.","gaseous, aqueous, acid-base, solubility and complexion",CHEM 120A or CHEM 123,0,science
GEOL 101,Introduction to Geology (3),"Introduction to the science of rocks, fossils, volcanoes, earthquakes, landscapes and oceans. Natural hazards, geology in everyday life and geology as field of practice. High school algebra recommended.","Introduction to the science of rocks, fossils, volcanoes, earthquakes, landscapes and oceans. Natural hazards, geology in everyday life and geology as field of practice. High school algebra recommended.",,0,science
GEOL 101L,Introduction to Geology Laboratory (1),"Hands-on analysis and evaluation of rocks, maps, geologic time and Earth processes. Natural hazards, geology in everyday life and scientific inquiry.","Hands-on analysis and evaluation of rocks, maps, geologic time and Earth processes. Natural hazards, geology in everyday life and scientific inquiry.",,0,science
GEOL 201,Earth History (3),"Evolution of Earth as interpreted from rocks, fossils and geologic structures. Plate tectonics provides a unifying theme for consideration of mountain building, evolution of life and ancient environments. (2 hours lecture, 3 hours laboratory, field trips)","2 hours lecture, 3 hours laboratory, field trips",GEOL 101L or GEOL 102,0,science
GEOL 201L,Earth History Supplemental Lab (1),"Supervised research on topics related to Earth history. Project will result in a term paper and/or web page. (3 hours laboratory, field trips)","3 hours laboratory, field trips",GEOL 201,0,science
MATH 250A,Calculus III (4),"Calculus of functions of several variables. Partial derivatives and multiple integrals with applications. Parametric curves, vector-valued functions, vector fields, line integrals, Green’s Theorem, Stokes’ theorem, the Divergence Theorem, vectors and the geometry of 3-space.","Calculus of functions of several variables. Partial derivatives and multiple integrals with applications. Parametric curves, vector-valued functions, vector fields, line integrals, Green’s Theorem, Stokes’ theorem, the Divergence Theorem, vectors and the geometry of 3-space.",MATH 106 or MATH 150B,0,science
MATH 250B,Introduction to Linear Algebra and Differential Equations (4),"Introduction to the solutions of ordinary differential equations and their relationship to linear algebra. Topics include matrix algebra, systems of linear equations, vector spaces, linear independence, linear transformations and eigenvalues.","Introduction to the solutions of ordinary differential equations and their relationship to linear algebra. Topics include matrix algebra, systems of linear equations, vector spaces, linear independence, linear transformations and eigenvalues.",MATH 250A,0,science
PHYS 225,Fundamental Physics: Mechanics (3),Classical Newtonian mechanics; linear and circular motion; energy; linear/angular momentum; systems of particles; rigid body motion; wave motion and sound.,Classical Newtonian mechanics; linear and circular motion; energy; linear/angular momentum; systems of particles; rigid body motion; wave motion and sound.,MATH 150A,0,science
PHYS 225L,Fundamental Physics: Laboratory (1),Laboratory for PHYS 225. Instructional fee required. (3 hours laboratory),3 hours laboratory,PHYS 225,0,science
