course_number,course_name,description,work_load,prerequisits,required,type
PHYS 226,Fundamental Physics: Electricity and Magnetism (3),"Electrostatics, electric potential, capacitance, dielectrics, electrical circuits, resistance, emf, electromagnetic induction, magnetism and magnetic materials, and introduction to Maxwell’s equations.","Electrostatics, electric potential, capacitance, dielectrics, electrical circuits, resistance, emf, electromagnetic induction, magnetism and magnetic materials, and introduction to Maxwell’s equations.","MATH 150B, PHYS 225",0,science
PHYS 226L,Fundamental Physics: Laboratory (1),Laboratory for PHYS 226. Instructional fee required. (3 hours laboratory),3 hours laboratory,PHYS 226,0,science
PHYS 227,"Fundamental Physics: Waves, Optics, and Modern Physics (1-3)","Geometrical and physical optics, wave phenomena; quantum physics, including the photoelectric effect, line spectra and the Bohr atom; the wave nature of matter, Schroedinger’s equation and solutions; the Uncertainty Principle, special theory of relativity.","Geometrical and physical optics, wave phenomena; quantum physics, including the photoelectric effect, line spectra and the Bohr atom; the wave nature of matter, Schroedinger’s equation and solutions; the Uncertainty Principle, special theory of relativity.",PHYS 226,0,science
PHYS 227L,Fundamental Physics: Laboratory (1),Laboratory for PHYS 227. Instructional fee required. (3 hours laboratory),3 hours laboratory,PHYS 227,0,science
CPSC 254,Software Development with Open Source Systems (3),"Philosophy of open source software development, open source operating systems such as Linux; open source development tools; open source programming languages, such as Python; open source software development processes; open source software licensing issues. (2 hours lecture, 2 hours laboratory)","2 hours lecture, 2 hours laboratory",CPSC 131,1,cs_electives
CPSC 301,Programming Lab Practicum (2),"Intensive programming covering concepts learned in lower-division courses. Procedural and object oriented design, documentation, arrays, classes, file input/output, recursion, pointers, dynamic variables, data and file structures.","Intensive programming covering concepts learned in lower-division courses. Procedural and object oriented design, documentation, arrays, classes, file input/output, recursion, pointers, dynamic variables, data and file structures.",CPSC 131,1,cs_electives
CPSC 349,Web Front-End Engineering (3),"Concepts and architecture of interactive web applications, including markup, stylesheets and behavior. Functional and object-oriented aspects of JavaScript. Model-view design patterns, templates and frameworks. Client-side technologies for asynchronous events, real-time interaction and access to back-end web services.","Concepts and architecture of interactive web applications, including markup, stylesheets and behavior. Functional and object-oriented aspects of JavaScript. Model-view design patterns, templates and frameworks. Client-side technologies for asynchronous events, real-time interaction and access to back-end web services.",CPSC 131,1,cs_electives
CPSC 352,Cryptography (3),"Introduction to cryptography and steganography. Encryption, cryptographic hashing, certificates, and signatures. Classical, symmetric-key, and public-key ciphers. Block modes of operation. Cryptanalysis including exhaustive search, man-in-the-middle, and birthday attacks. Programing projects involving implementation of cryptographic systems.","Introduction to cryptography and steganography. Encryption, cryptographic hashing, certificates, and signatures. Classical, symmetric-key, and public-key ciphers. Block modes of operation. Cryptanalysis including exhaustive search, man-in-the-middle, and birthday attacks. Programing projects involving implementation of cryptographic systems.","MATH 170B, CPSC 131, CPSC 253",1,cs_electives
CPSC 375,Introduction to Data Science and Big Data (3),"Techniques for data preparation, exploratory analysis, statistical modeling, machine learning and visualization. Methods for analyzing different types of data, such as natural language and time-series, from emerging applications, including Internet-of-Things. Big data platforms. Projects with real-world data.","Techniques for data preparation, exploratory analysis, statistical modeling, machine learning and visualization. Methods for analyzing different types of data, such as natural language and time-series, from emerging applications, including Internet-of-Things. Big data platforms. Projects with real-world data.","CPSC 131, MATH 338",1,cs_electives
CPSC 386,Introduction to Game Design and Production (3),"Current and future technologies and market trends in game design and production. Game technologies, basic building tools for games and the process of game design, development and production.","Current and future technologies and market trends in game design and production. Game technologies, basic building tools for games and the process of game design, development and production.",CPSC 121,1,cs_electives
CPSC 411,Mobile Device Application Programming (3),"Introduction to developing applications for mobile devices, including but not limited to runtime environments, development tools and debugging tools used in creating applications for mobile devices. Use emulators in lab. Students must provide their own mobile devices.","Introduction to developing applications for mobile devices, including but not limited to runtime environments, development tools and debugging tools used in creating applications for mobile devices. Use emulators in lab. Students must provide their own mobile devices.",CPSC 131,1,cs_electives
CPSC 411A,Mobile Device Application Programming for Android (3),"Introduction to developing applications for Android mobile devices, including but not limited to runtime environments, development tools and debugging tools used in creating applications for mobile devices. Use emulators in lab. Students must provide own mobile devices.","Introduction to developing applications for Android mobile devices, including but not limited to runtime environments, development tools and debugging tools used in creating applications for mobile devices. Use emulators in lab. Students must provide own mobile devices.",CPSC 131,1,cs_electives
CPSC 431,Database and Applications (3),"Database design and application development techniques for a real world system. System analysis, requirement specifications, conceptual modeling, logic design, physical design and web interface development. Develop projects using contemporary database management system and web-based application development platform.","Database design and application development techniques for a real world system. System analysis, requirement specifications, conceptual modeling, logic design, physical design and web interface development. Develop projects using contemporary database management system and web-based application development platform.",CPSC 332,1,cs_electives
CPSC 439,Theory of Computation (3),"Introduction to the theory of computation. Automata theory; finite state machines, context free grammars, and Turing machines; hierarchy of formal language classes. Computability theory and undecidable problems. Time complexity; P and NP-complete problems. Applications to software design and security.","Introduction to the theory of computation. Automata theory; finite state machines, context free grammars, and Turing machines; hierarchy of formal language classes. Computability theory and undecidable problems. Time complexity; P and NP-complete problems. Applications to software design and security.","CPSC 121 or MATH 320, MATH 170B or MATH 280",1,cs_electives
CPSC 440,Computer System Architecture (3),"Computer performance, price/performance, instruction set design and examples. Processor design, pipelining, memory hierarchy design and input/output subsystems.","Computer performance, price/performance, instruction set design and examples. Processor design, pipelining, memory hierarchy design and input/output subsystems.",CPSC 240,1,cs_electives
CPSC 449,Web Back-End Engineering (3),"Design and architecture of large-scale web applications. Techniques for scalability, session management and load balancing. Dependency injection, application tiers, message queues, web services and REST architecture. Caching and eventual consistency. Data models, partitioning and replication in relational and non-relational databases.","Design and architecture of large-scale web applications. Techniques for scalability, session management and load balancing. Dependency injection, application tiers, message queues, web services and REST architecture. Caching and eventual consistency. Data models, partitioning and replication in relational and non-relational databases.",CPSC 332,1,cs_electives
CPSC 454,Cloud Computing and Security (3),"Cloud computing and cloud security, distributed computing, computer clusters, grid computing, virtual machines and virtualization, cloud computing platforms and deployment models, cloud programming and software environments, vulnerabilities and risks of cloud computing, cloud infrastructure protection, data privacy and protection.","Cloud computing and cloud security, distributed computing, computer clusters, grid computing, virtual machines and virtualization, cloud computing platforms and deployment models, cloud programming and software environments, vulnerabilities and risks of cloud computing, cloud infrastructure protection, data privacy and protection.","CPSC 351, CPSC 253",1,cs_electives
CPSC 455,Web Security (3),"Concepts of web application security. Web security mechanisms, including authentication, access control and protecting sensitive data. Common vulnerabilities, including code and SQL attacks, cross-site scripting and cross-site request forgery. Implement hands-on web application security mechanisms and security testing.","Concepts of web application security. Web security mechanisms, including authentication, access control and protecting sensitive data. Common vulnerabilities, including code and SQL attacks, cross-site scripting and cross-site request forgery. Implement hands-on web application security mechanisms and security testing.",CPSC 351 or CPSC 353,1,cs_electives
CPSC 456,Network Security Fundamentals (3),"Learn about vulnerabilities of network protocols, attacks targeting confidentiality, integrity and availability of data transmitted across networks, and methods for diagnosing and closing security gaps through hands-on exercises.","Learn about vulnerabilities of network protocols, attacks targeting confidentiality, integrity and availability of data transmitted across networks, and methods for diagnosing and closing security gaps through hands-on exercises.",CPSC 351,1,cs_electives
CPSC 458,Malware Analysis (3),"Introduction to principles and practices of malware analysis. Topics include static and dynamic code analysis, data decoding, analysis tools, debugging, shellcode analysis, reverse engineering of stealthy malware and written presentation of analysis results.","Introduction to principles and practices of malware analysis. Topics include static and dynamic code analysis, data decoding, analysis tools, debugging, shellcode analysis, reverse engineering of stealthy malware and written presentation of analysis results.",CPSC 351,1,cs_electives
CPSC 459,Blockchain Technologies (3),Digital assets as a medium of exchange to secure financial transactions; decentralized and distributed ledgers that record verifiable transactions; smart contracts and Ethereum; Bitcoin mechanics and mining; the cryptocurrency ecosystem; blockchain mechanics and applications.,Digital assets as a medium of exchange to secure financial transactions; decentralized and distributed ledgers that record verifiable transactions; smart contracts and Ethereum; Bitcoin mechanics and mining; the cryptocurrency ecosystem; blockchain mechanics and applications.,"CPSC 351, CPSC 352 or CPSC 353",1,cs_electives
CPSC 462,Software Design (3),"Concepts of software modeling, software process and some tools. Object-oriented analysis and design and Unified process. Some computer-aided software engineering (CASE) tools will be recommended to use for doing homework assignments.",CASE,CPSC 362,1,cs_electives
CPSC 463,Software Testing (3),"Software testing techniques, reporting problems effectively and planning testing projects. Students apply what they learned throughout the course to a sample application that is either commercially available or under development.","Software testing techniques, reporting problems effectively and planning testing projects. Students apply what they learned throughout the course to a sample application that is either commercially available or under development.",CPSC 362,1,cs_electives
CPSC 464,Software Architecture (3),"Basic principles and practices of software design and architecture. High-level design, software architecture, documenting software architecture, software and architecture evaluation, software product lines and some considerations beyond software architecture.","Basic principles and practices of software design and architecture. High-level design, software architecture, documenting software architecture, software and architecture evaluation, software product lines and some considerations beyond software architecture.",CPSC 362,1,cs_electives
CPSC 466,Software Process (3),"Practical guidance for improving the software development process. How to establish, maintain and improve software processes. Exposure to agile processes, ISO 12207 and CMMI.","Practical guidance for improving the software development process. How to establish, maintain and improve software processes. Exposure to agile processes, ISO 12207 and CMMI.",CPSC 362,1,cs_electives
CPSC 474,Parallel and Distributed Computing (3),Concepts of distributed computing; distributed memory and shared memory architectures; parallel programming techniques; inter-process communication and synchronization; programming for parallel architectures such as multi-core and GPU platforms; project involving distributed application development.,Concepts of distributed computing; distributed memory and shared memory architectures; parallel programming techniques; inter-process communication and synchronization; programming for parallel architectures such as multi-core and GPU platforms; project involving distributed application development.,CPSC 351,1,cs_electives
CPSC 479,Introduction to High Performance Computing (3),"Introduction to the concepts of high-performance computing and the paradigms of parallel programming in a high level programming language, design and implementation of parallel algorithms on distributed memory, machine learning techniques on large data sets, implementation of parallel algorithms.","Introduction to the concepts of high-performance computing and the paradigms of parallel programming in a high level programming language, design and implementation of parallel algorithms on distributed memory, machine learning techniques on large data sets, implementation of parallel algorithms.",CPSC 351,1,cs_electives
CPSC 483,Introduction to Machine Learning (3),"Design, implement and analyze machine learning algorithms, including supervised learning and unsupervised learning algorithms. Methods to address uncertainty. Projects with real-world data.","Design, implement and analyze machine learning algorithms, including supervised learning and unsupervised learning algorithms. Methods to address uncertainty. Projects with real-world data.","CPSC 335, MATH 338",1,cs_electives
CPSC 484,Principles of Computer Graphics (3),"Examine and analyze computer graphics, software structures, display processor organization, graphical input/output devices, display files. Algorithmic techniques for clipping, windowing, character generation and viewpoint transformation.","Examine and analyze computer graphics, software structures, display processor organization, graphical input/output devices, display files. Algorithmic techniques for clipping, windowing, character generation and viewpoint transformation.","CPSC 131, MATH 150B, MATH 170B",1,cs_electives
CPSC 485,Computational Bioinformatics (3),"Algorithmic approaches to biological problems. Specific topics include motif finding, genome rearrangement, DNA sequence comparison, sequence alignment, DNA sequencing, repeat finding and gene expression analysis.","Algorithmic approaches to biological problems. Specific topics include motif finding, genome rearrangement, DNA sequence comparison, sequence alignment, DNA sequencing, repeat finding and gene expression analysis.",CPSC 131,1,cs_electives
CPSC 486,Game Programming (3),Survey of data structures and algorithms used for real-time rendering and computer game programming. Build upon existing mathematics and programming knowledge to create interactive graphics programs.,Survey of data structures and algorithms used for real-time rendering and computer game programming. Build upon existing mathematics and programming knowledge to create interactive graphics programs.,"CPSC 386, CPSC 484",1,cs_electives
CPSC 489,Game Development Project (3),"Individually or in teams, students design, plan and build a computer game.","Individually or in teams, students design, plan and build a computer game.",CPSC 486,1,cs_electives
CPSC 499,Independent Study (1-3),"Special topic in computer science, selected in consultation with and completed under the supervision of instructor. May be repeated for a maximum of 9 units of Undergraduate credit and 6 units of Graduate credit. Requires approval by the Computer Science chair.","Special topic in computer science, selected in consultation with and completed under the supervision of instructor. May be repeated for a maximum of 9 units of Undergraduate credit and 6 units of Graduate credit. Requires approval by the Computer Science chair.",,1,cs_electives
EGGN 495,Professional Practice (1-3),Professional engineering work in industry or government. Written report required. May be taken for credit for a maximum of three units. Applicable towards bachelor’s degree programs. Not for credit in the graduate program.,Professional engineering work in industry or government. Written report required. May be taken for credit for a maximum of three units. Applicable towards bachelor’s degree programs. Not for credit in the graduate program.,,1,cs_electives
MATH 335,Mathematical Probability (4),"Probability theory; discrete, continuous and multivariate probability distributions, independence, conditional probability distribution, expectation, moment generating functions, functions of random variables and the central limit theorem.","Probability theory; discrete, continuous and multivariate probability distributions, independence, conditional probability distribution, expectation, moment generating functions, functions of random variables and the central limit theorem.",MATH 250A,0,other
MATH 340,Numerical Analysis (4),"Approximate numerical solutions of systems of linear and nonlinear equations, interpolation theory, numerical differentiation and integration, numerical solution of ordinary differential equations. Computer coding of numerical methods.","Approximate numerical solutions of systems of linear and nonlinear equations, interpolation theory, numerical differentiation and integration, numerical solution of ordinary differential equations. Computer coding of numerical methods.","MATH 250A, MATH 207 or MATH 250B, MATH 107, MATH 207 or MATH 320, CPSC 120 or CPSC 121",0,other
MATH 370,Mathematical Model Building (4),"Introduction to mathematical models in science and engineering. Dimensional analysis, discrete and continuous dynamical systems, and numerous other topics. Emphasizes deriving equations and using mathematical tools to make predictions.","Introduction to mathematical models in science and engineering. Dimensional analysis, discrete and continuous dynamical systems, and numerous other topics. Emphasizes deriving equations and using mathematical tools to make predictions.","MATH 250A, MATH 207 or MATH 250B, MATH 107, MATH 207 or MATH 320, CPSC 120 or CPSC 121",0,other
HONR 201B,Honors Seminar: American Institutions and Values since 1877 (3),"Critically examines the development of American institutions and values from Reconstruction to present day, with particular reference to California government and politics. The interaction, conflict and cooperation of diverse groups with specific attention to race, ethnicity, gender and class.","Critically examines the development of American institutions and values from Reconstruction to present day, with particular reference to California government and politics. The interaction, conflict and cooperation of diverse groups with specific attention to race, ethnicity, gender and class.",,0,other
POSC 100,American Government (3),"People, their politics, and power; contemporary issues, changing political styles and processes, institution and underlying values of the American political system. Satisfies state requirements in U.S. Constitution and California State and local government.","People, their politics, and power; contemporary issues, changing political styles and processes, institution and underlying values of the American political system. Satisfies state requirements in U.S. Constitution and California State and local government.",,0,other